name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Martini Asti,Italy,11.99,3.8,images/Martini_Asti.png,images/bottle_Martini_Asti.png,Asti,Martini,"tree fruit, earth, citrus fruit, tropical fruit, floral, microbio, non oak, oak, red fruit, spices, vegetal, dried fruit, black fruit","Sweet desserts, Fruity desserts, Aperitif",Moscato
Michele Chiarlo Moscato d'Asti Nivole,Italy,11.99,4.2,images/Michele_Chiarlo_Moscato_dAsti_Nivole.png,images/bottle_Michele_Chiarlo_Moscato_dAsti_Nivole.png,Moscato d'Asti,Michele Chiarlo,"tree fruit, earth, citrus fruit, floral, tropical fruit, microbio, oak, spices, non oak, red fruit, vegetal, dried fruit, black fruit","Fruity desserts, Aperitif",Moscatel de grano menudo
Gancia Asti,Italy,18.69,3.9,images/Gancia_Asti.png,images/bottle_Gancia_Asti.png,Asti,Gancia,"tree fruit, earth, citrus fruit, microbio, tropical fruit, spices, oak, floral, non oak, red fruit, dried fruit, vegetal, black fruit","Sweet desserts, Fruity desserts, Aperitif",Moscato
Risata Moscato d'Asti,Italy,11.99,4.2,images/Risata_Moscato_dAsti.png,images/bottle_Risata_Moscato_dAsti.png,Moscato d'Asti,Risata,"tree fruit, earth, citrus fruit, microbio, tropical fruit, floral, oak, vegetal, non oak, red fruit, spices, black fruit, dried fruit","Fruity desserts, Aperitif",Moscatel de grano menudo
Stella Rosa Moscato d'Asti Semi-Sweet,Italy,11.99,4.2,images/Stella_Rosa_Moscato_dAsti_Semi_Sweet.png,images/bottle_Stella_Rosa_Moscato_dAsti_Semi_Sweet.png,Piemonte,Stella Rosa,"tree fruit, earth, citrus fruit, microbio, oak, tropical fruit, red fruit, floral, spices, vegetal, non oak, dried fruit, black fruit","Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat","Arneis, Pinot Blanc, Cortese, Tocai Friulano"
Taylor's Chip Dry White Port,Portugal,23.14,3.5,images/Taylors_Chip_Dry_White_Port.png,images/bottle_Taylors_Chip_Dry_White_Port.png,Porto,Taylor's,"tree fruit, oak, citrus fruit, earth, non oak, microbio, vegetal, spices, dried fruit, tropical fruit, floral, black fruit, red fruit","Appetizers and snacks, Fruity desserts, Aperitif, Cured Meat","Gouveio, Rabigato, Malvasia Fina"
Ruffino Moscato d'Asti,Italy,18.99,4.2,images/Ruffino_Moscato_dAsti.png,images/bottle_Ruffino_Moscato_dAsti.png,Moscato d'Asti,Ruffino,"tree fruit, earth, tropical fruit, citrus fruit, microbio, floral, spices, oak, vegetal, non oak, red fruit","Fruity desserts, Aperitif",Moscatel de grano menudo
Gancia Moscato d'Asti,Italy,17.99,3.7,images/Gancia_Moscato_dAsti.png,images/bottle_Gancia_Moscato_dAsti.png,Moscato d'Asti,Gancia,"tree fruit, earth, tropical fruit, citrus fruit, microbio, floral, spices, oak, non oak, vegetal, black fruit","Fruity desserts, Aperitif",Moscatel de grano menudo
Gemma di Luna Moscato,Italy,14.99,4.1,images/Gemma_di_Luna_Moscato.png,images/bottle_Gemma_di_Luna_Moscato.png,Piemonte,Gemma di Luna,"tree fruit, citrus fruit, earth, tropical fruit, microbio, non oak, oak, vegetal, spices, floral, red fruit","Appetizers and snacks, Aperitif",
Barefoot Bubbly Pink Moscato (Champagne),United States,10.99,3.7,images/Barefoot_Bubbly_Pink_Moscato_Champagne.png,images/bottle_Barefoot_Bubbly_Pink_Moscato_Champagne.png,California,Barefoot,"red fruit, tree fruit, citrus fruit, earth, microbio, tropical fruit, non oak, floral, oak, spices, black fruit, dried fruit, vegetal","Shellfish, Appetizers and snacks, Lean fish, Aperitif","Chardonnay, Pinot Noir"
Alasia Moscato d'Asti 2024,Italy,13.99,4,images/Alasia_Moscato_dAsti_2024.png,images/bottle_Alasia_Moscato_dAsti_2024.png,Moscato d'Asti,Alasia,"tree fruit, earth, tropical fruit, citrus fruit, floral, microbio, spices, vegetal, non oak, oak, red fruit, black fruit, dried fruit","Fruity desserts, Aperitif",Moscatel de grano menudo
Birichino Malvasia Bianca 2023,United States,24,3.9,images/Birichino_Malvasia_Bianca_2023.png,images/bottle_Birichino_Malvasia_Bianca_2023.png,Monterey,Birichino,"floral, citrus fruit, tree fruit, tropical fruit, earth, microbio, spices, vegetal, oak, non oak, red fruit, black fruit","Pasta, Rich fish (salmon, tuna etc), Shellfish, Vegetarian, Poultry, Lean fish",
Stella Rosa Pink Semi-Sweet Rose,Italy,10.95,4,images/Stella_Rosa_Pink_Semi_Sweet_Rose.png,images/bottle_Stella_Rosa_Pink_Semi_Sweet_Rose.png,Piemonte,Stella Rosa,"red fruit, tree fruit, microbio, tropical fruit, earth, citrus fruit, oak, black fruit, floral, dried fruit","Shellfish, Mature and hard cheese, Appetizers and snacks, Lean fish, Mild and soft cheese, Cured Meat",
Oliver Cherry Moscato,United States,13.99,4.2,images/Oliver_Cherry_Moscato.png,images/bottle_Oliver_Cherry_Moscato.png,Indiana,Oliver,"red fruit, tree fruit, citrus fruit, oak, spices, non oak, floral, earth, black fruit, microbio, tropical fruit, vegetal",,
Stella Rosa Berry Semi-Sweet Rosé,Italy,10.95,4.1,images/Stella_Rosa_Berry_Semi_Sweet_Ros.png,images/bottle_Stella_Rosa_Berry_Semi_Sweet_Ros.png,Piemonte,Stella Rosa,"red fruit, tree fruit, microbio, black fruit, oak, earth, non oak, spices, floral, citrus fruit, vegetal","Shellfish, Mature and hard cheese, Appetizers and snacks, Lean fish, Mild and soft cheese, Cured Meat",
Stella Rosa Moscato Semi-Sweet White,Italy,19.67,4.2,images/Stella_Rosa_Moscato_Semi_Sweet_White.png,images/bottle_Stella_Rosa_Moscato_Semi_Sweet_White.png,Piemonte,Stella Rosa,"tree fruit, earth, microbio, tropical fruit, red fruit, citrus fruit, oak, non oak, floral, black fruit, spices, vegetal, dried fruit","Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat","Arneis, Pinot Blanc, Cortese, Tocai Friulano"
Caravaglio Malvasia Bianco Secco 2023,Italy,25,4,images/Caravaglio_Malvasia_Bianco_Secco_2023.png,images/bottle_Caravaglio_Malvasia_Bianco_Secco_2023.png,Salina,Caravaglio,"earth, citrus fruit, tree fruit, tropical fruit, microbio, oak, spices, floral, non oak, vegetal, dried fruit","Shellfish, Vegetarian, Appetizers and snacks","Malvasia, Fiano, Catarratto Bianco"
Antinori Tenuta Guado al Tasso Vermentino Bolgheri 2023,Italy,23.99,4.1,images/Antinori_Tenuta_Guado_al_Tasso_Vermentino_Bolgheri.png,images/bottle_Antinori_Tenuta_Guado_al_Tasso_Vermentino_B.png,Bolgheri,Antinori,"citrus fruit, tree fruit, earth, tropical fruit, vegetal, microbio, oak, floral, non oak, spices, red fruit, black fruit, dried fruit","Pasta, Vegetarian, Appetizers and snacks, Lean fish, Cured Meat","Trebbiano, Verdicchio"
Luccío Moscato d'Asti,Italy,11.49,4.3,images/Lucco_Moscato_dAsti.png,images/bottle_Lucco_Moscato_dAsti.png,Moscato d'Asti,Luccío,"tree fruit, earth, citrus fruit, tropical fruit, vegetal, floral, microbio, oak, spices, red fruit, black fruit, non oak","Fruity desserts, Aperitif",Moscatel de grano menudo
Oliver Blueberry Moscato,United States,13.99,4.2,images/Oliver_Blueberry_Moscato.png,images/bottle_Oliver_Blueberry_Moscato.png,Indiana,Oliver,"black fruit, red fruit, dried fruit, tree fruit, earth, citrus fruit, spices, microbio, oak, floral, vegetal, tropical fruit, non oak",,
Bartenura Moscato d'Asti 2017,Italy,14.99,4.3,images/Bartenura_Moscato_dAsti_2017.png,images/bottle_Bartenura_Moscato_dAsti_2017.png,Moscato d'Asti,Bartenura,"tree fruit, earth, citrus fruit, tropical fruit, microbio, floral, oak, non oak, spices, vegetal, red fruit, dried fruit, black fruit","Fruity desserts, Aperitif",Moscatel de grano menudo
Valter Barbero - Cascina Pian d'Or Bricco Riella Moscato d'Asti 2024,Italy,14.99,4.2,images/Valter_Barbero_Cascina_Pian_dOr_Bricco_Riella_Mosc.png,images/bottle_Valter_Barbero_Cascina_Pian_dOr_Bricco_Riel.png,Moscato d'Asti,Valter Barbero - Cascina Pian d'Or,"tree fruit, earth, tropical fruit, citrus fruit, microbio, spices, floral, oak, non oak, vegetal, dried fruit, red fruit","Fruity desserts, Aperitif",Moscatel de grano menudo
Saracco Moscato d'Asti 2017,Italy,17.99,4.1,images/Saracco_Moscato_dAsti_2017.png,images/bottle_Saracco_Moscato_dAsti_2017.png,Moscato d'Asti,Saracco,"tree fruit, earth, citrus fruit, tropical fruit, floral, microbio, oak, vegetal, red fruit, non oak, spices, dried fruit, black fruit","Fruity desserts, Aperitif",Moscatel de grano menudo
Casa Vinicola Ferrero Rivata Moscato d'Asti 2023,Italy,13.97,4.2,images/Casa_Vinicola_Ferrero_Rivata_Moscato_dAsti_2023.png,images/bottle_Casa_Vinicola_Ferrero_Rivata_Moscato_dAsti_.png,Moscato d'Asti,Casa Vinicola Ferrero,"tree fruit, earth, tropical fruit, floral, citrus fruit, microbio, oak, red fruit, non oak, black fruit, vegetal, spices, dried fruit","Fruity desserts, Aperitif",Moscatel de grano menudo
Fonseca Siroco White Port (Extra Dry),Portugal,20.82,3.5,images/Fonseca_Siroco_White_Port_Extra_Dry.png,images/bottle_Fonseca_Siroco_White_Port_Extra_Dry.png,Porto,Fonseca,"non oak, oak, citrus fruit, earth, microbio, tree fruit, spices, vegetal, dried fruit, floral, tropical fruit, black fruit, red fruit","Appetizers and snacks, Fruity desserts, Aperitif, Cured Meat","Gouveio, Rabigato, Malvasia Fina"
Roscato Sparkling Moscato,Italy,13.99,4.2,images/Roscato_Sparkling_Moscato.png,images/bottle_Roscato_Sparkling_Moscato.png,Trentino,Roscato,"red fruit, tree fruit, black fruit, oak, citrus fruit, tropical fruit, earth, microbio, non oak","Shellfish, Any junk food will do, Appetizers and snacks, Lean fish, Aperitif",
Stella Rosa Bianco Semi-Sweet White,Italy,10.95,4.1,images/Stella_Rosa_Bianco_Semi_Sweet_White.png,images/bottle_Stella_Rosa_Bianco_Semi_Sweet_White.png,Piemonte,Stella Rosa,"tree fruit, red fruit, earth, citrus fruit, oak, spices, non oak","Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat","Arneis, Pinot Blanc, Cortese, Tocai Friulano"
Lustau Emilín Moscatel Sherry (Solera Reserva),Spain,38.99,4.1,images/Lustau_Emiln_Moscatel_Sherry_Solera_Reserva.png,images/bottle_Lustau_Emiln_Moscatel_Sherry_Solera_Reserva.png,Jerez-Xérès-Sherry,Lustau,"dried fruit, oak, non oak, earth, microbio, black fruit, citrus fruit, spices, tree fruit, red fruit, tropical fruit, vegetal, floral","Mature and hard cheese, Appetizers and snacks, Aperitif, Cured Meat","Palomino, Moscato, Pedro Ximenez"
Barefoot Bubbly Moscato Spumante (Champagne),United States,10.99,3.5,images/Barefoot_Bubbly_Moscato_Spumante_Champagne.png,images/bottle_Barefoot_Bubbly_Moscato_Spumante_Champagne.png,California,Barefoot,"citrus fruit, tree fruit, earth, microbio, red fruit, vegetal, non oak, oak, tropical fruit, spices","Shellfish, Appetizers and snacks, Lean fish, Aperitif","Chardonnay, Pinot Noir"
Chambers Rosewood Vineyards Muscat,Australia,18.99,3.9,images/Chambers_Rosewood_Vineyards_Muscat.png,images/bottle_Chambers_Rosewood_Vineyards_Muscat.png,Rutherglen,Chambers Rosewood Vineyards,"dried fruit, non oak, oak, earth, microbio, citrus fruit, tree fruit, spices, black fruit, red fruit, vegetal, floral, tropical fruit","Sweet desserts, Fruity desserts, Blue cheese",
Bartenura Sparkling Moscato Rosé,Italy,14.99,4.1,images/Bartenura_Sparkling_Moscato_Ros.png,images/bottle_Bartenura_Sparkling_Moscato_Ros.png,Vino d'Italia,Bartenura,"red fruit, tree fruit, floral, microbio, citrus fruit, earth, oak, non oak, spices, tropical fruit, vegetal","Appetizers and snacks, Aperitif",
Caposaldo Moscato,Italy,11.99,4.3,images/Caposaldo_Moscato.png,images/bottle_Caposaldo_Moscato.png,Provincia di Pavia,Caposaldo,"tree fruit, tropical fruit, earth, red fruit, citrus fruit, spices, floral, oak, non oak, black fruit, microbio","Appetizers and snacks, Aperitif",
Klein Constantia Vin de Constance (Natural Sweet) 2018,South Africa,79,4.5,images/Klein_Constantia_Vin_de_Constance_Natural_Sweet_20.png,images/bottle_Klein_Constantia_Vin_de_Constance_Natural_S.png,Constantia,Klein Constantia,"earth, tree fruit, citrus fruit, oak, non oak, dried fruit, tropical fruit, microbio, spices, floral, vegetal, black fruit, red fruit","Sweet desserts, Fruity desserts",
Kopke Porto White Colheita 2002,Portugal,99,4.2,images/Kopke_Porto_White_Colheita_2002.png,images/bottle_Kopke_Porto_White_Colheita_2002.png,Porto,Kopke,"non oak, oak, earth, citrus fruit, dried fruit, microbio, vegetal, spices, tree fruit, tropical fruit, black fruit, floral, red fruit","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
